1969-11-23,昭和44年,勤労感謝の日
1970-01-01,昭和45年,元日
1970-01-15,昭和45年,成人の日
1970-02-11,昭和45年,建国記念の日
1970-03-21,昭和45年,春分の日
1970-04-29,昭和45年,天皇誕生日
1970-05-03,昭和45年,憲法記念日
1970-05-05,昭和45年,こどもの日
1970-09-15,昭和45年,敬老の日
1970-09-23,昭和45年,秋分の日
1970-10-10,昭和45年,体育の日
1970-11-03,昭和45年,文化の日
1970-11-23,昭和45年,勤労感謝の日
1971-01-01,昭和46年,元日
1971-01-15,昭和46年,成人の日
1971-02-11,昭和46年,建国記念の日
1971-03-21,昭和46年,春分の日
1971-04-29,昭和46年,天皇誕生日
1971-05-03,昭和46年,憲法記念日
1971-05-05,昭和46年,こどもの日
1971-09-15,昭和46年,敬老の日
1971-09-24,昭和46年,秋分の日
1971-10-10,昭和46年,体育の日
1971-11-03,昭和46年,文化の日
1971-11-23,昭和46年,勤労感謝の日
1972-01-01,昭和47年,元日
1972-01-15,昭和47年,成人の日
1972-02-11,昭和47年,建国記念の日
1972-03-20,昭和47年,春分の日
1972-04-29,昭和47年,天皇誕生日
1972-05-03,昭和47年,憲法記念日
1972-05-05,昭和47年,こどもの日
1972-09-15,昭和47年,敬老の日
1972-09-23,昭和47年,秋分の日
1972-10-10,昭和47年,体育の日
1972-11-03,昭和47年,文化の日
1972-11-23,昭和47年,勤労感謝の日
1973-01-01,昭和48年,元日
1973-01-15,昭和48年,成人の日
1973-02-11,昭和48年,建国記念の日
1973-03-21,昭和48年,春分の日
1973-04-29,昭和48年,天皇誕生日
1973-04-30,昭和48年,振替休日
1973-05-03,昭和48年,憲法記念日
1973-05-05,昭和48年,こどもの日
1973-09-15,昭和48年,敬老の日
1973-09-23,昭和48年,秋分の日
1973-09-24,昭和48年,振替休日
1973-10-10,昭和48年,体育の日
1973-11-03,昭和48年,文化の日
1973-11-23,昭和48年,勤労感謝の日
1974-01-01,昭和49年,元日
1974-01-15,昭和49年,成人の日
1974-02-11,昭和49年,建国記念の日
1974-03-21,昭和49年,春分の日
1974-04-29,昭和49年,天皇誕生日
1974-05-03,昭和49年,憲法記念日
1974-05-05,昭和49年,こどもの日
1974-05-06,昭和49年,振替休日
1974-09-15,昭和49年,敬老の日
